id;duration;state;start_time;team_1;team_2;game_type
1;78513;FINISHED;2020-05-24T11:07:03;navigating Squares TCP;Gorgeous Steel Bacon bottom-line;SIXTEENTH
2;40745;CANCELED;2020-05-24T04:24:05;CSS Sausages;Montana;FINAL
3;26193;RUNNING;2020-05-24T05:34:00;models Expressway;Cambridgeshire Dobra;HALF
4;79121;CANCELED;2020-05-23T19:31:33;Honduras Paradigm;synergies Coordinator Toys;SIXTEENTH
5;56275;CANCELED;2020-05-23T16:41:16;Rubber;Missouri Data;QUARTER
6;33713;CANCELED;2020-05-24T12:38:31;Kids;Planner;GROUP
7;43176;PLANNED;2020-05-24T01:22:31;Plastic Garden;magenta Home Loan Account markets;QUARTER
8;53026;FINISHED;2020-05-24T03:23:16;Unbranded Cotton Gloves North Carolina even-keeled;Licensed Steel Shirt New Mexico;FINAL
9;45296;CANCELED;2020-05-23T18:46:45;payment Rubber Pizza;Graphic Interface withdrawal Supervisor;GROUP
10;75923;PLANNED;2020-05-24T13:53:31;invoice Lead Faroe Islands;Steel;GROUP
