id;tournament_name;date;location
1;Panama;2020-05-23;capacitor
2;generate Fantastic Plastic Shoes;2020-05-24;Developer Direct Consultant
3;Accounts Tools invoice;2020-05-24;Investment Account
4;networks;2020-05-24;Branding
5;array Palladium monitor;2020-05-24;invoice
6;generate;2020-05-24;Montana Connecticut
7;Buckinghamshire;2020-05-23;niches Practical Concrete Gloves Product
8;logistical;2020-05-24;Incredible
9;Checking Account Sausages approach;2020-05-24;payment B2B
10;olive Web copying;2020-05-23;cross-platform
